Holder,Shares,Date Reported,% Out,Value,ABV
"River Road Asset Management, LLC",6259534,2021-09-29,0.0347,44192310,OCSL
"Private Management Group, Inc.",5746666,2021-09-29,0.0319,40571461,OCSL
Ares Management Llc,5096419,2021-09-29,0.028300000000000002,35980718,OCSL
Bruni J V & Co /co,4493990,2021-09-29,0.024900000000000002,31727569,OCSL
Oaktree Capital Management Lp,4490368,2021-09-29,0.024900000000000002,31701998,OCSL
"Rivernorth Capital Management, Llc",3027666,2021-09-29,0.0168,21375321,OCSL
Lsv Asset Management,2912374,2021-09-29,0.0161,20561360,OCSL
Claret Asset Management Corp,2845675,2021-09-29,0.0158,20090465,OCSL
Partners Group Holding AG,2441057,2021-09-29,0.013500000000000002,17233862,OCSL
Van Eck Associates Corporation,2365247,2021-09-29,0.0131,16698643,OCSL
