Holder,Shares,Date Reported,% Out,Value,ABV
Blackrock Inc.,4080947,2021-09-29,0.1293,116633465,HSTM
"Vanguard Group, Inc. (The)",2757566,2021-09-29,0.0874,78811236,HSTM
Brown Brothers Harriman & Co,1437584,2021-09-29,0.0455,41086150,HSTM
Dimensional Fund Advisors LP,1424525,2021-09-29,0.0451,40712924,HSTM
State Street Corporation,982842,2021-09-29,0.0311,28089624,HSTM
"Granite Investment Partners, LLC",789332,2021-09-29,0.025,22559108,HSTM
"Renaissance Technologies, LLC",741600,2021-09-29,0.0235,21194928,HSTM
Northern Trust Corporation,610791,2021-09-29,0.0194,17456406,HSTM
"Punch & Associates Investment Management, Inc.",540395,2021-09-29,0.0171,15444489,HSTM
Trigran Investments Inc,526929,2021-09-29,0.0167,15059630,HSTM
