Holder,Shares,Date Reported,% Out,Value,ABV
Senvest Management LLC,5765912,2021-09-29,0.08779999999999999,83605724,MAPS
"Luxor Capital Group, LP",5446361,2021-09-29,0.08289999999999999,78972234,MAPS
"Fred Alger Management, LLC",4145273,2021-09-29,0.06309999999999999,60106458,MAPS
"Federated Hermes, Inc.",4000000,2021-09-29,0.060899999999999996,58000000,MAPS
"Falcon Edge Capital, LP",2863243,2021-09-29,0.0436,41517023,MAPS
"Vanguard Group, Inc. (The)",2796568,2021-09-29,0.0426,40550236,MAPS
"Pura Vida Investments, LLC",1612498,2021-09-29,0.0246,23381221,MAPS
Bank Of New York Mellon Corporation,1074359,2021-09-29,0.016399999999999998,15578205,MAPS
Polar Asset Management Partners Inc.,974935,2021-09-29,0.0148,14136557,MAPS
Hunt Lane Capital LP,850000,2021-09-29,0.0129,12325000,MAPS
