Holder,Shares,Date Reported,% Out,Value,ABV
UBS Group AG,327036,2021-09-29,0.0141,4977487,WHF
Ares Management Llc,295153,2021-09-29,0.0128,4492228,WHF
"Advisors Asset Management, Inc.",266700,2021-09-29,0.0115,4059174,WHF
"Sound Income Strategies, LLC",183190,2021-09-29,0.0079,2788151,WHF
Legal & General Group PLC,126283,2021-09-29,0.0055000000000000005,1922027,WHF
Blackrock Inc.,111736,2021-09-29,0.0048,1700621,WHF
"Gables Capital Management, Inc.",93656,2021-09-29,0.004,1425444,WHF
"Two Sigma Advisers, LP",84568,2021-09-29,0.0037,1287124,WHF
"Two Sigma Investments, LP",84149,2021-09-29,0.0036,1280747,WHF
Mackenzie Financial Corporation,76905,2021-09-29,0.0033,1170494,WHF
