Holder,Shares,Date Reported,% Out,Value,ABV
Blackrock Inc.,6230105,2021-09-29,0.10890000000000001,561270159,CELH
"Vanguard Group, Inc. (The)",4150099,2021-09-29,0.0726,373882418,CELH
"William Blair Investment Management, LLC",1594242,2021-09-29,0.0279,143625261,CELH
"FMR, LLC",1535212,2021-09-29,0.0268,138307249,CELH
State Street Corporation,1355343,2021-09-29,0.023700000000000002,122102850,CELH
"Driehaus Capital Management, LLC",1345532,2021-09-29,0.0235,121218977,CELH
Voya Investment Management LLC,1055730,2021-09-29,0.018500000000000003,95110715,CELH
Morgan Stanley,820290,2021-09-29,0.0143,73899926,CELH
"Geode Capital Management, LLC",800193,2021-09-29,0.013999999999999999,72089387,CELH
Hood River Capital Management LLC,797293,2021-09-29,0.0139,71828126,CELH
