Holder,Shares,Date Reported,% Out,Value,ABV
Blackrock Inc.,3706159,2021-12-30,0.1602,640164844,ABG
"Vanguard Group, Inc. (The)",2455122,2021-12-30,0.1061,424073223,ABG
"Abrams Capital Management, L.P.",2118216,2021-12-30,0.0916,365879449,ABG
"Neuberger Berman Group, LLC",1523759,2021-12-30,0.0659,263198892,ABG
"Impactive Capital, LP",1375769,2021-12-30,0.059500000000000004,237636579,ABG
State Street Corporation,791646,2021-12-30,0.0342,136741013,ABG
Dimensional Fund Advisors LP,742439,2021-12-30,0.0321,128241488,ABG
"Simcoe Capital Management, LLC",721990,2021-12-30,0.031200000000000002,124709332,ABG
Congress Asset Management Co,671254,2021-12-30,0.028999999999999998,115945703,ABG
"Eminence Capital, LP",659814,2021-12-30,0.0285,113969672,ABG
