Holder,Shares,Date Reported,% Out,Value,ABV
Soltis Investment Advisors LLC,2839926,2021-09-29,0.16140000000000002,23372590,SNFCA
"M3F, Inc.",1740527,2021-09-29,0.0989,14324537,SNFCA
"Vanguard Group, Inc. (The)",429076,2021-09-29,0.024399999999999998,3531295,SNFCA
"Bridgeway Capital Management, Inc.",324758,2021-09-29,0.018500000000000003,2672758,SNFCA
"Renaissance Technologies, LLC",318020,2021-09-29,0.0181,2617304,SNFCA
Dimensional Fund Advisors LP,309594,2021-09-29,0.0176,2547958,SNFCA
Carlson Capital. L.P.,220000,2021-09-29,0.0125,1810600,SNFCA
"Geode Capital Management, LLC",139488,2021-09-29,0.0079,1147986,SNFCA
"Verdad Advisers, LP",124889,2021-09-29,0.0070999999999999995,1027836,SNFCA
Blackrock Inc.,112207,2021-09-29,0.0064,923463,SNFCA
