Holder,Shares,Date Reported,% Out,Value,ABV
Cannell Capital LLC,2482188,2021-09-29,0.0827,36537807,NOA
Claret Asset Management Corp,2258314,2021-09-29,0.07519999999999999,33242382,NOA
Alberta Investment Managament Corp,1131700,2021-09-29,0.0377,16658624,NOA
Polar Asset Management Partners Inc.,897923,2021-09-29,0.029900000000000003,13217426,NOA
Mackenzie Financial Corporation,835373,2021-09-29,0.0278,12296690,NOA
Fiera Capital Corporation,682068,2021-09-29,0.0227,10040040,NOA
CIBC Asset Management Inc.,609614,2021-09-29,0.0203,8973518,NOA
"Renaissance Technologies, LLC",572000,2021-09-29,0.0191,8419840,NOA
Cumberland Partners Ltd.,362800,2021-09-29,0.0121,5340416,NOA
"Cibc World Markets, Inc.",332385,2021-09-29,0.0111,4892707,NOA
