Holder,Shares,Date Reported,% Out,Value,ABV
Blackstone Inc,31913019,2021-09-29,0.053899999999999997,482524847,OTLY
Baillie Gifford and Company,23701426,2021-09-29,0.04,358365561,OTLY
"Luxor Capital Group, LP",7788949,2021-09-29,0.0132,117768908,OTLY
Massachusetts Financial Services Co.,7010580,2021-09-29,0.0118,105999969,OTLY
JP Morgan Chase & Company,6059494,2021-09-29,0.0102,91619549,OTLY
Invesco Ltd.,5011500,2021-09-29,0.0085,75773880,OTLY
Pictet Asset Management SA,3769506,2021-09-29,0.0064,56994930,OTLY
"AllianceBernstein, L.P.",3570231,2021-09-29,0.006,53981892,OTLY
"Federated Hermes, Inc.",3078400,2021-09-29,0.0052,46545408,OTLY
"FMR, LLC",2887097,2021-09-29,0.0049,43652906,OTLY
