Holder,Shares,Date Reported,% Out,Value,ABV
"ARK Investment Management, LLC",6743556,2021-09-29,0.09179999999999999,904648037,NTLA
"Vanguard Group, Inc. (The)",6353334,2021-09-29,0.08650000000000001,852299756,NTLA
Blackrock Inc.,5530995,2021-09-29,0.0753,741982979,NTLA
"FMR, LLC",3180368,2021-09-29,0.0433,426646367,NTLA
"Nikko Asset Management Americas, Inc.",2399933,2021-09-29,0.0327,321951011,NTLA
"Sumitomo Mitsui Trust Holdings, Inc.",2399933,2021-09-29,0.0327,321951011,NTLA
Price (T.Rowe) Associates Inc,2344538,2021-09-29,0.0319,314519772,NTLA
State Street Corporation,1661730,2021-09-29,0.0226,222921079,NTLA
"Viking Global Investors, L.P.",1279531,2021-09-29,0.0174,171649083,NTLA
"AllianceBernstein, L.P.",1236904,2021-09-29,0.0168,165930671,NTLA
