Holder,Shares,Date Reported,% Out,Value,ABV
Morgan Stanley,855179,2021-09-29,0.018000000000000002,4104859,NRO
"Advisors Asset Management, Inc.",360997,2021-09-29,0.0076,1732785,NRO
LPL Financial LLC,205240,2021-09-29,0.0043,985152,NRO
Bank of America Corporation,195921,2021-09-29,0.0040999999999999995,940420,NRO
"Advisor Group, Inc.",170008,2021-09-29,0.0036,816038,NRO
Wells Fargo & Company,163454,2021-09-29,0.0034000000000000002,784579,NRO
Royal Bank of Canada,80709,2021-09-29,0.0017000000000000001,387403,NRO
UBS Group AG,67332,2021-09-29,0.0014000000000000002,323193,NRO
"Steward Partners Investment Advisory, LLC",64811,2021-09-29,0.0014000000000000002,311092,NRO
"Raymond James & Associates, Inc.",60838,2021-09-29,0.0013,292022,NRO
