Holder,Shares,Date Reported,% Out,Value,ABV
American Securities LLC,9530150,2021-09-29,0.2981,198798929,BLBD
"AllianceBernstein, L.P.",2138415,2021-09-29,0.0669,44607336,BLBD
Price (T.Rowe) Associates Inc,1968398,2021-09-29,0.0616,41060782,BLBD
"Wellington Management Group, LLP",1541812,2021-09-29,0.0482,32162198,BLBD
Blackrock Inc.,1093813,2021-09-29,0.0342,22816939,BLBD
"Vanguard Group, Inc. (The)",884081,2021-09-29,0.0277,18441929,BLBD
Manufacturers Life Insurance Co.,844269,2021-09-29,0.0264,17611451,BLBD
Skandinaviska Enskilda Banken AB publ,756318,2021-09-29,0.023700000000000002,15776793,BLBD
Lansdowne Partners (UK) LLP,481354,2021-09-29,0.0151,10041044,BLBD
"Epoch Investment Partners, Inc.",455302,2021-09-29,0.014199999999999999,9497599,BLBD
