Holder,Shares,Date Reported,% Out,Value,ABV
SIT Investment Associates Inc,553597,2021-09-29,0.048600000000000004,11260162,VBF
Wells Fargo & Company,272742,2021-09-29,0.024,5547572,VBF
Invesco Ltd.,208903,2021-09-29,0.0183,4249087,VBF
Morgan Stanley,179123,2021-09-29,0.015700000000000002,3643361,VBF
"Raymond James & Associates, Inc.",120897,2021-09-29,0.0106,2459044,VBF
Bank of America Corporation,114579,2021-09-29,0.0101,2330536,VBF
"Raymond James Financial Services Advisors, Inc.",87527,2021-09-29,0.0077,1780299,VBF
"Guggenheim Capital, LLC",73996,2021-09-29,0.006500000000000001,1505078,VBF
UBS Group AG,58083,2021-09-29,0.0051,1181408,VBF
Greytown Advisors Inc.,51713,2021-09-29,0.0045000000000000005,1051842,VBF
