Holder,Shares,Date Reported,% Out,Value,ABV
Gamco Investors Inc,1908674,2021-09-29,0.18510000000000001,51362417,BATRA
"Vanguard Group, Inc. (The)",670777,2021-09-29,0.065,18050609,BATRA
Blackrock Inc.,600879,2021-09-29,0.0583,16169653,BATRA
"Gabelli Funds, LLC",523779,2021-09-29,0.0508,14094892,BATRA
"Shapiro Capital Management Company, Inc.",436514,2021-09-29,0.042300000000000004,11746591,BATRA
"Epoch Investment Partners, Inc.",309663,2021-09-29,0.03,8333031,BATRA
"Renaissance Technologies, LLC",286100,2021-09-29,0.0277,7698951,BATRA
Morgan Stanley,260147,2021-09-29,0.0252,7000555,BATRA
Dimensional Fund Advisors LP,222215,2021-09-29,0.0215,5979805,BATRA
State Street Corporation,212553,2021-09-29,0.0206,5719801,BATRA
