Holder,Shares,Date Reported,% Out,Value,ABV
Blackrock Inc.,4416846,2021-09-29,0.1492,392525104,BOOT
"Vanguard Group, Inc. (The)",1947296,2021-09-29,0.0658,173056195,BOOT
Wasatch Advisors Inc,1448218,2021-09-29,0.0489,128703133,BOOT
Dimensional Fund Advisors LP,1319793,2021-09-29,0.0446,117290003,BOOT
State Street Corporation,1011120,2021-09-29,0.0341,89858234,BOOT
"Driehaus Capital Management, LLC",851037,2021-09-29,0.0287,75631658,BOOT
"William Blair Investment Management, LLC",732211,2021-09-29,0.024700000000000003,65071591,BOOT
Hood River Capital Management LLC,712320,2021-09-29,0.0241,63303878,BOOT
Invesco Ltd.,706063,2021-09-29,0.023799999999999998,62747818,BOOT
Wells Fargo & Company,696808,2021-09-29,0.0235,61925326,BOOT
