Holder,Shares,Date Reported,% Out,Value,ABV
Avoro Capital Advisors LLC,1829402,2021-12-30,0.0876,44180058,AADI
Acuta Capital Partners LLC,1529402,2021-12-30,0.0732,36935058,AADI
"VR Adviser, LLC",1529402,2021-12-30,0.0732,36935058,AADI
"Vivo Capital, LLC",1303390,2021-12-30,0.062400000000000004,31476868,AADI
BVF Inc.,899392,2021-12-30,0.043,21720316,AADI
RTW Investments LP,764701,2021-12-30,0.0366,18467529,AADI
"Vanguard Group, Inc. (The)",761473,2021-12-30,0.0364,18389572,AADI
"Rock Springs Capital Management, LP",538835,2021-12-30,0.0258,13012865,AADI
Price (T.Rowe) Associates Inc,508892,2021-12-30,0.024399999999999998,12289741,AADI
"Satter Management Company, LP",374785,2021-12-30,0.0179,9051057,AADI
