Holder,Shares,Date Reported,% Out,Value,ABV
SB Investment Advisers (UK) LTD,27904963,2021-09-29,0.2583,879843483,RLAY
"FMR, LLC",13686804,2021-09-29,0.1267,431544930,RLAY
Blackrock Inc.,5352612,2021-09-29,0.0495,168767856,RLAY
"Vanguard Group, Inc. (The)",4884037,2021-09-29,0.0452,153993686,RLAY
Bellevue Group AG,3755962,2021-09-29,0.0348,118425481,RLAY
"Casdin Capital, LLC",3668574,2021-09-29,0.034,115670138,RLAY
"Driehaus Capital Management, LLC",3050702,2021-09-29,0.0282,96188634,RLAY
State Street Corporation,2681676,2021-09-29,0.0248,84553244,RLAY
BVF Inc.,2049113,2021-09-29,0.019,64608532,RLAY
Perceptive Advisors Llc,1943097,2021-09-29,0.018000000000000002,61265848,RLAY
