Holder,Shares,Date Reported,% Out,Value,ABV
"Crestview Partners III GP, LP",19796410,2021-12-30,0.37810000000000005,22765871,USWS
"TCW Group, Inc. (The)",10757195,2021-12-30,0.20550000000000002,12370774,USWS
"Vanguard Group, Inc. (The)",1124704,2021-12-30,0.0215,1293409,USWS
Piper Sandler & Co.,509337,2021-12-30,0.0097,585737,USWS
"Scoggin Management, LP",375000,2021-12-30,0.0072,431250,USWS
Blackrock Inc.,311859,2021-12-30,0.006,358637,USWS
Morgan Stanley,212623,2021-12-30,0.0040999999999999995,244516,USWS
"Geode Capital Management, LLC",113330,2021-12-30,0.0022,130329,USWS
Millennium Management LLC,95101,2021-12-30,0.0018,109366,USWS
"Aristides Capital, LLC",47571,2021-12-30,0.0009,54706,USWS
