Date,Firm,To Grade,From Grade,Action,ABV
2013-03-05,Ascendiant Capital,Strong Buy,,init,NBY
2013-03-06,Ascendiant Capital,Strong Buy,,init,NBY
2015-04-30,Maxim Group,Buy,,init,NBY
2016-03-07,Maxim Group,Hold,Buy,down,NBY
2017-06-05,Roth Capital,Buy,,init,NBY
2018-03-26,Roth Capital,Neutral,Buy,down,NBY
2019-03-13,H.C. Wainwright,Neutral,Buy,down,NBY
2019-09-18,Ladenburg Thalmann,Buy,,init,NBY
