Date,Firm,To Grade,From Grade,Action,ABV
2012-05-31,UBS,Buy,,main,HA
2012-07-11,Deutsche Bank,Buy,,main,HA
2012-07-25,Imperial Capital,Outperform,,main,HA
2012-09-05,Bank of America,Buy,,main,HA
2013-01-09,Bank of America,Underperform,Buy,down,HA
2013-01-30,Deutsche Bank,Hold,Buy,down,HA
2013-03-08,UBS,Buy,,main,HA
2013-03-26,Bank of America,Underperform,,main,HA
2013-04-02,Imperial Capital,Outperform,,main,HA
2013-09-17,Imperial Capital,Outperform,,main,HA
2013-10-23,Imperial Capital,Outperform,,main,HA
2014-01-15,Imperial Capital,Outperform,,main,HA
2014-02-25,CRT Capital,Buy,,init,HA
2014-02-25,Stifel Nicolaus,Hold,,init,HA
2014-02-28,Imperial Capital,Outperform,,main,HA
2014-03-06,Deutsche Bank,Buy,Hold,up,HA
2014-03-24,Morgan Stanley,Equal-Weight,,main,HA
2014-04-23,Deutsche Bank,Buy,,main,HA
2014-04-24,Bank of America,Neutral,Underperform,up,HA
2014-07-23,CRT Capital,Buy,,main,HA
2014-12-04,CRT Capital,Buy,,main,HA
2015-01-30,Deutsche Bank,Buy,,main,HA
2015-03-25,Imperial Capital,Outperform,In-Line,up,HA
2015-07-29,Deutsche Bank,Buy,,main,HA
2015-10-20,Deutsche Bank,Buy,,main,HA
2015-11-24,Deutsche Bank,Buy,,main,HA
2016-01-05,Deutsche Bank,Hold,Buy,down,HA
2016-01-07,Wolfe Research,Peer Perform,Underperform,up,HA
2016-01-27,Deutsche Bank,Buy,Hold,up,HA
2016-01-28,Bank of America,Neutral,Underperform,up,HA
2016-04-01,Deutsche Bank,Neutral,Buy,down,HA
2016-04-22,Cowen & Co.,Market Perform,,main,HA
2016-05-04,Argus,Hold,,init,HA
2016-06-10,Credit Suisse,Neutral,,init,HA
2016-06-27,Deutsche Bank,Buy,Hold,up,HA
2016-07-26,Argus,Buy,Hold,up,HA
2016-09-06,Imperial Capital,Outperform,,init,HA
2016-10-12,Deutsche Bank,Buy,,main,HA
2016-11-18,Citigroup,Neutral,,init,HA
2016-12-01,Argus,Buy,,main,HA
2016-12-06,Deutsche Bank,Buy,,main,HA
2017-02-10,Wolfe Research,Outperform,Peer Perform,up,HA
2017-04-24,Imperial Capital,Outperform,,main,HA
2017-06-08,Deutsche Bank,Hold,Buy,down,HA
2017-06-14,Stifel Nicolaus,Sell,Hold,down,HA
2017-07-26,Morgan Stanley,Underweight,,main,HA
2017-07-26,Citigroup,Neutral,,main,HA
2017-07-28,Stifel Nicolaus,Hold,Sell,up,HA
2017-08-17,Morgan Stanley,Underweight,,main,HA
2017-09-26,Buckingham,Neutral,Buy,down,HA
2017-09-26,Macquarie,Outperform,,init,HA
2017-10-13,Morgan Stanley,Underweight,,main,HA
2017-10-20,Buckingham,Neutral,,main,HA
2017-10-20,Citigroup,Neutral,,main,HA
2017-11-13,Imperial Capital,Outperform,,main,HA
2017-11-16,Buckingham,Buy,Neutral,up,HA
2018-01-11,Argus,Hold,Buy,down,HA
2018-01-30,Stifel Nicolaus,Hold,Hold,main,HA
2018-01-31,Imperial Capital,Outperform,Outperform,main,HA
2018-04-06,Morgan Stanley,Underweight,Underweight,main,HA
2018-04-12,Morgan Stanley,Underweight,Underweight,main,HA
2018-04-25,Buckingham,Buy,Buy,main,HA
2018-04-25,Stifel Nicolaus,Hold,Hold,main,HA
2018-05-04,Bank of America,Underperform,Underperform,main,HA
2018-05-04,Buckingham,Neutral,Buy,down,HA
2018-05-29,Citigroup,Neutral,Neutral,main,HA
