Date,Firm,To Grade,From Grade,Action,ABV
2014-04-14,Stifel Nicolaus,Buy,,init,QTWO
2014-04-14,Canaccord Genuity,Buy,,init,QTWO
2014-04-14,JP Morgan,Overweight,,main,QTWO
2014-04-14,Raymond James,Outperform,,init,QTWO
2014-04-14,Needham,Buy,,init,QTWO
2014-04-14,RBC Capital,Outperform,,init,QTWO
2014-05-09,Raymond James,Outperform,,main,QTWO
2014-05-09,Canaccord Genuity,Buy,,main,QTWO
2014-08-08,Raymond James,Outperform,,main,QTWO
2014-11-07,Stifel Nicolaus,Buy,,main,QTWO
2015-02-06,JP Morgan,Overweight,,main,QTWO
2015-04-27,Stifel Nicolaus,Buy,,main,QTWO
2015-05-08,JP Morgan,Overweight,,main,QTWO
2015-05-28,Avondale Partners,Market Perform,,init,QTWO
2015-08-03,Stifel Nicolaus,Buy,,main,QTWO
2015-08-07,JP Morgan,Overweight,,main,QTWO
2015-08-07,Stifel Nicolaus,Buy,,main,QTWO
2015-08-07,Canaccord Genuity,Buy,,main,QTWO
2015-12-09,Northland Securities,Outperform,,init,QTWO
2016-03-02,First Analysis,Overweight,,init,QTWO
2016-03-14,Craig-Hallum,Buy,,init,QTWO
2016-07-25,Morgan Stanley,Equal-Weight,Overweight,down,QTWO
2016-11-14,BTIG Research,Neutral,Buy,down,QTWO
2016-11-18,Pacific Crest,Sector Weight,,init,QTWO
2017-01-10,Loop Capital,Buy,,init,QTWO
2017-06-27,SunTrust Robinson Humphrey,Buy,,init,QTWO
2017-11-02,Canaccord Genuity,Hold,Buy,down,QTWO
2017-11-03,Loop Capital,Buy,,main,QTWO
2017-11-03,Morgan Stanley,Equal-Weight,,main,QTWO
2017-11-17,DA Davidson,Neutral,,init,QTWO
2017-12-12,JP Morgan,Neutral,Overweight,down,QTWO
2018-02-08,Wells Fargo,Outperform,,init,QTWO
2018-02-16,Morgan Stanley,Equal-Weight,Equal-Weight,main,QTWO
2018-05-04,Stifel Nicolaus,Buy,Buy,main,QTWO
2018-05-04,DA Davidson,Neutral,Neutral,main,QTWO
2018-05-07,Morgan Stanley,Equal-Weight,Equal-Weight,main,QTWO
2018-05-11,BTIG Research,Neutral,Buy,down,QTWO
2018-05-21,SunTrust Robinson Humphrey,Hold,Buy,down,QTWO
2018-06-08,Stifel Nicolaus,Buy,Buy,main,QTWO
2018-06-21,Canaccord Genuity,Hold,Hold,main,QTWO
2018-09-10,Raymond James,Outperform,Outperform,main,QTWO
2018-12-13,JP Morgan,Overweight,Neutral,up,QTWO
2018-12-19,BTIG Research,Buy,Neutral,up,QTWO
2019-01-03,Stephens & Co.,Overweight,Equal-Weight,up,QTWO
2019-01-23,KeyBanc,Overweight,Sector Weight,up,QTWO
2019-02-14,BTIG Research,Neutral,Buy,down,QTWO
2019-02-15,DA Davidson,Underperform,Neutral,down,QTWO
2019-03-01,SunTrust Robinson Humphrey,Buy,Hold,up,QTWO
2019-03-01,KeyBanc,Overweight,Overweight,main,QTWO
2019-04-02,William Blair,Outperform,,init,QTWO
2019-04-03,Stephens & Co.,Equal-Weight,Overweight,down,QTWO
2019-08-08,JP Morgan,Overweight,,main,QTWO
2019-08-08,Stifel Nicolaus,Buy,,main,QTWO
2019-08-09,KeyBanc,Overweight,,main,QTWO
2019-08-09,SunTrust Robinson Humphrey,Buy,,main,QTWO
2019-08-13,Compass Point,Buy,,init,QTWO
2019-08-28,KeyBanc,Overweight,,main,QTWO
2019-09-12,Canaccord Genuity,Buy,Hold,up,QTWO
2019-10-14,Citigroup,Buy,,init,QTWO
2019-11-08,KeyBanc,Overweight,,main,QTWO
2019-11-11,Roth Capital,Buy,Neutral,up,QTWO
2019-11-11,BTIG Research,Buy,Neutral,up,QTWO
2020-01-22,Citigroup,Buy,,main,QTWO
2020-02-20,JP Morgan,Overweight,,main,QTWO
2020-02-21,RBC Capital,Outperform,,main,QTWO
2020-02-21,Stifel Nicolaus,Buy,,main,QTWO
2020-02-21,SunTrust Robinson Humphrey,Buy,,main,QTWO
2020-02-26,Morgan Stanley,Overweight,,main,QTWO
2020-03-26,Citigroup,Buy,,main,QTWO
2020-03-30,Morgan Stanley,Overweight,,main,QTWO
2020-04-08,Wells Fargo,Overweight,,main,QTWO
2020-04-23,KeyBanc,Overweight,,main,QTWO
2020-04-29,Baird,Outperform,Neutral,up,QTWO
2020-05-22,Piper Sandler,Overweight,,init,QTWO
2020-08-07,KeyBanc,Overweight,,main,QTWO
2020-08-10,BTIG,Neutral,Buy,down,QTWO
2020-08-10,Morgan Stanley,Equal-Weight,Overweight,down,QTWO
2020-08-11,Gabelli & Co.,Hold,Buy,down,QTWO
2020-09-17,Compass Point,Buy,,init,QTWO
2021-01-15,KeyBanc,Overweight,,main,QTWO
2021-02-09,DA Davidson,Neutral,,main,QTWO
2021-02-19,KeyBanc,Overweight,,main,QTWO
2021-02-19,Wells Fargo,Overweight,,main,QTWO
2021-02-23,Canaccord Genuity,Buy,,main,QTWO
2021-04-06,Morgan Stanley,Equal-Weight,,main,QTWO
2021-05-07,Morgan Stanley,Equal-Weight,,main,QTWO
2021-05-07,Piper Sandler,Overweight,,main,QTWO
2021-05-13,DA Davidson,Buy,Neutral,up,QTWO
2021-09-27,Morgan Stanley,Equal-Weight,,main,QTWO
2021-09-30,RBC Capital,Outperform,,main,QTWO
2021-11-08,Keybanc,Overweight,,main,QTWO
2021-11-19,Stephens & Co.,Overweight,,init,QTWO
2021-12-15,Morgan Stanley,Equal-Weight,,main,QTWO
