Date,Firm,To Grade,From Grade,Action,ABV
2019-03-11,H.C. Wainwright,Buy,,init,CODX
2019-04-09,Maxim Group,Buy,,init,CODX
2020-02-24,HC Wainwright & Co.,Buy,,main,CODX
2020-03-03,Maxim Group,Hold,Buy,down,CODX
2020-05-18,HC Wainwright & Co.,Buy,,reit,CODX
2020-05-20,Maxim Group,Buy,Hold,up,CODX
2020-08-14,HC Wainwright & Co.,Buy,,main,CODX
2020-11-17,HC Wainwright & Co.,Buy,,main,CODX
2020-12-15,HC Wainwright & Co.,Buy,,main,CODX
2021-03-26,HC Wainwright & Co.,Buy,,main,CODX
2021-03-29,Maxim Group,Hold,Buy,down,CODX
2021-11-12,HC Wainwright & Co.,Buy,,main,CODX
