Date,Firm,To Grade,From Grade,Action,ABV
2012-11-26,William Blair,Outperform,,init,RH
2012-11-27,Goldman Sachs,Neutral,,init,RH
2012-11-27,Bank of America,Neutral,,init,RH
2012-11-29,Goldman Sachs,,,init,RH
2012-12-13,Goldman Sachs,Neutral,,main,RH
2012-12-13,PiperJaffray,Overweight,,main,RH
2013-04-15,Wells Fargo,Outperform,,init,RH
2013-06-10,Jefferies,Buy,,init,RH
2013-06-11,Jefferies,Buy,,init,RH
2013-09-11,Jefferies,Buy,,main,RH
2013-12-13,PiperJaffray,Neutral,Overweight,down,RH
2013-12-18,KeyBanc,Buy,,init,RH
2014-02-21,BB&T Capital,Buy,,init,RH
2014-06-25,Bank of America,Buy,Neutral,up,RH
2014-07-01,Barrington Research,Market Perform,,init,RH
2014-07-17,Nomura,Buy,,init,RH
2014-07-21,BB&T Capital,Hold,Buy,down,RH
2014-09-05,Wolfe Research,Peer Perform,Underperform,up,RH
2014-09-19,CRT Capital,Buy,,init,RH
2014-10-09,Raymond James,Outperform,,init,RH
2014-10-16,Deutsche Bank,Buy,,init,RH
2014-12-11,Deutsche Bank,Buy,,main,RH
2015-02-04,Telsey Advisory Group,Outperform,,init,RH
2015-02-18,Cowen & Co.,Outperform,,init,RH
2015-03-30,Goldman Sachs,Buy,Neutral,up,RH
2015-06-12,PiperJaffray,Neutral,,main,RH
2015-06-12,Deutsche Bank,Buy,,main,RH
2015-06-26,BB&T Capital,Buy,Hold,up,RH
2015-07-14,Longbow Research,Buy,,init,RH
2015-07-31,Evercore ISI Group,Hold,,init,RH
2015-10-12,Wolfe Research,Outperform,Peer Perform,up,RH
2015-11-09,UBS,Buy,,init,RH
2015-11-20,Goldman Sachs,Neutral,Buy,down,RH
2015-12-11,PiperJaffray,Neutral,,main,RH
2015-12-16,Guggenheim,Buy,,init,RH
2015-12-17,Guggenheim,Buy,,init,RH
2016-02-01,Cowen & Co.,Market Perform,Outperform,down,RH
2016-02-04,Deutsche Bank,Buy,,main,RH
2016-02-25,Nomura,Buy,,main,RH
2016-02-25,Cowen & Co.,Market Perform,,main,RH
2016-02-25,Deutsche Bank,Buy,,main,RH
2016-02-25,Baird,Neutral,Outperform,down,RH
2016-03-17,BB&T Capital,Hold,Buy,down,RH
2016-03-18,Buckingham Research,Underperform,Neutral,down,RH
2016-03-30,Nomura,Buy,,main,RH
2016-03-30,Baird,Neutral,,main,RH
2016-03-30,Deutsche Bank,Buy,,main,RH
2016-03-30,Barclays,Equal-Weight,,init,RH
2016-03-30,UBS,Buy,,main,RH
2016-04-14,Oppenheimer,Perform,,init,RH
2016-05-10,Longbow Research,Buy,,init,RH
2016-06-09,Telsey Advisory Group,Market Perform,Outperform,down,RH
2016-06-09,UBS,Neutral,Buy,down,RH
2016-06-09,Deutsche Bank,Hold,Buy,down,RH
2016-06-09,Longbow Research,Neutral,Buy,down,RH
