Date,Firm,To Grade,From Grade,Action,ABV
2012-10-05,Keefe Bruyette & Woods,Market Perform,Outperform,down,CFFN
2013-04-10,DA Davidson,Neutral,,init,CFFN
2013-04-11,DA Davidson,Neutral,,init,CFFN
2013-07-29,DA Davidson,Neutral,,main,CFFN
2013-07-30,Sandler O'Neill,Hold,Buy,down,CFFN
2014-01-31,DA Davidson,Neutral,,main,CFFN
2015-01-30,Keefe Bruyette & Woods,Market Perform,,main,CFFN
2016-08-26,Stephens & Co.,Equal-Weight,,init,CFFN
2020-09-29,Piper Sandler,Neutral,,main,CFFN
2020-10-29,Piper Sandler,Neutral,,main,CFFN
