Date,Firm,To Grade,From Grade,Action,ABV
2019-06-03,Goldman Sachs,Buy,,init,AXLA
2019-06-03,JP Morgan,Overweight,,init,AXLA
2019-11-15,JP Morgan,Overweight,,main,AXLA
2020-05-01,BTIG,Buy,,init,AXLA
2020-05-18,SVB Leerink,Outperform,,main,AXLA
2020-05-28,Wedbush,Outperform,,init,AXLA
2020-07-31,Piper Sandler,Overweight,,init,AXLA
2020-08-06,SVB Leerink,Outperform,,main,AXLA
2020-09-25,B. Riley FBR,Buy,,init,AXLA
2020-10-27,Chardan Capital,Buy,,init,AXLA
2021-06-03,Chardan Capital,Buy,,main,AXLA
2021-07-06,HC Wainwright & Co.,Buy,,init,AXLA
2021-07-30,JP Morgan,Underweight,Neutral,down,AXLA
2021-09-22,Goldman Sachs,Neutral,Buy,down,AXLA
2021-10-12,Noble Capital Markets,Outperform,,init,AXLA
2021-11-16,Chardan Capital,Buy,,main,AXLA
