Date,Firm,To Grade,From Grade,Action,ABV
2012-11-30,Feltl & Co.,Hold,,init,ALG
2014-06-19,Seaport Global,Neutral,,init,ALG
2014-11-18,Seaport Global,Buy,Neutral,up,ALG
2014-11-24,PiperJaffray,Overweight,,init,ALG
2014-11-24,Bank of America,Buy,,init,ALG
2015-11-06,Seaport Global,Neutral,Buy,down,ALG
2019-08-01,Sidoti & Co.,Buy,,main,ALG
2019-09-06,Sidoti & Co.,Buy,,main,ALG
2019-10-25,Sidoti & Co.,Buy,,main,ALG
2020-03-31,Sidoti & Co.,Buy,,main,ALG
2020-06-17,Sidoti & Co.,Buy,,main,ALG
2020-10-09,Sidoti & Co.,Buy,,main,ALG
2021-10-14,DA Davidson,Neutral,,init,ALG
