Date,Firm,To Grade,From Grade,Action,ABV
2019-07-23,UBS,Buy,,init,REAL
2019-07-23,KeyBanc,Overweight,,init,REAL
2019-07-23,Bank of America,Neutral,,init,REAL
2019-07-23,Stifel,Buy,,init,REAL
2019-07-23,Raymond James,Market Perform,,init,REAL
2019-07-23,Cowen & Co.,Outperform,,init,REAL
2019-08-12,Bank of America,Neutral,,reit,REAL
2019-09-03,Wells Fargo,Outperform,,init,REAL
2019-09-30,Wells Fargo,Outperform,,main,REAL
2019-11-05,Wells Fargo,Outperform,,main,REAL
2019-12-10,DA Davidson,Buy,,init,REAL
2019-12-11,DA Davidson,Buy,,init,REAL
2019-12-18,B. Riley,Buy,,init,REAL
2019-12-19,Needham,Buy,,init,REAL
2020-02-04,BMO Capital,Outperform,,init,REAL
2020-02-21,Raymond James,Outperform,Market Perform,up,REAL
2020-02-26,B of A Securities,Neutral,,main,REAL
2020-02-26,Wells Fargo,Overweight,,main,REAL
2020-03-23,Needham,Hold,Buy,down,REAL
2020-03-26,B. Riley FBR,Buy,,main,REAL
2020-04-03,B. Riley,Neutral,Buy,down,REAL
2020-04-03,B. Riley FBR,Neutral,Buy,down,REAL
2020-04-15,KeyBanc,Overweight,,main,REAL
2020-04-15,B. Riley FBR,Neutral,,main,REAL
2020-04-15,Nomura Instinet,Buy,,main,REAL
2020-04-15,Stifel,Buy,,main,REAL
2020-04-21,UBS,Buy,,main,REAL
2020-05-07,Raymond James,Outperform,,main,REAL
2020-05-07,Nomura Instinet,Buy,,main,REAL
2020-05-07,Credit Suisse,Outperform,,main,REAL
2020-06-09,BTIG,Buy,,init,REAL
2020-06-09,Nomura Instinet,Buy,,main,REAL
2020-06-10,KeyBanc,Overweight,,main,REAL
2020-06-10,Nomura Instinet,Buy,,main,REAL
2020-06-10,Stifel,Buy,,main,REAL
2020-06-26,Wells Fargo,Overweight,,main,REAL
2020-08-07,Raymond James,Outperform,,main,REAL
2020-11-17,Morgan Stanley,Equal-Weight,,init,REAL
2020-12-15,Piper Sandler,Overweight,,init,REAL
2020-12-22,Baird,Outperform,,init,REAL
2021-01-11,Stifel,Hold,Buy,down,REAL
2021-01-15,Morgan Stanley,Equal-Weight,,main,REAL
2021-01-22,KeyBanc,Overweight,,main,REAL
2021-02-23,Raymond James,Market Perform,Outperform,down,REAL
2021-02-23,Morgan Stanley,Equal-Weight,,main,REAL
2021-05-11,BTIG,Neutral,Buy,down,REAL
2021-07-08,Needham,Buy,,init,REAL
2021-07-21,B of A Securities,Buy,Neutral,up,REAL
2021-08-10,Morgan Stanley,Equal-Weight,,main,REAL
2021-10-05,Wedbush,Neutral,,init,REAL
2021-10-05,Keybanc,Overweight,,main,REAL
2021-10-26,Raymond James,Outperform,Market Perform,up,REAL
2021-11-09,BTIG,Buy,Neutral,up,REAL
2022-01-04,Wedbush,Outperform,Neutral,up,REAL
