Date,Firm,To Grade,From Grade,Action,ABV
2012-03-01,Dougherty,Buy,,up,HOLX
2012-03-05,Dougherty,Buy,,up,HOLX
2012-04-04,Bank oferica,Buy,,init,HOLX
2012-05-01,Dougherty,Neutral,,down,HOLX
2012-05-01,Cantor Fitzgerald,Hold,,main,HOLX
2012-05-14,JP Morgan,Overweight,,up,HOLX
2012-07-10,ISI Group,Overweight,,init,HOLX
2012-07-23,Barclays,Equal-Weight,,main,HOLX
2012-07-31,Dougherty,Buy,Neutral,up,HOLX
2012-07-31,Canaccord Genuity,Buy,,main,HOLX
2012-08-03,Raymond James,Strong Buy,Outperform,up,HOLX
2012-08-07,Cantor Fitzgerald,Hold,,main,HOLX
2012-09-21,Jefferies,Buy,,main,HOLX
2012-09-24,Canaccord Genuity,Buy,,main,HOLX
2012-10-16,Citigroup,Buy,,main,HOLX
2013-01-30,Barrington Research,Outperform,,main,HOLX
2013-02-05,ISI Group,Strong Buy,,main,HOLX
2013-02-06,Bank of America,Neutral,Buy,down,HOLX
2013-04-09,Stifel Nicolaus,Hold,,init,HOLX
2013-04-10,Stifel Nicolaus,Hold,,init,HOLX
2013-05-07,ISI Group,Buy,Strong Buy,down,HOLX
2013-05-07,Raymond James,Outperform,Strong Buy,down,HOLX
2013-06-04,Bank of America,Neutral,,main,HOLX
2013-07-17,PiperJaffray,Neutral,Overweight,down,HOLX
2013-09-11,Raymond James,Market Perform,Outperform,down,HOLX
2013-09-24,ISI Group,Strong Buy,Buy,up,HOLX
2013-10-02,Needham,Buy,,init,HOLX
2013-10-16,Citigroup,Neutral,Buy,down,HOLX
2013-11-12,Jefferies,Buy,,main,HOLX
2013-11-12,Citigroup,Neutral,,main,HOLX
2013-11-12,Craig-Hallum,Hold,Buy,down,HOLX
2013-11-12,William Blair,Market Perform,Outperform,down,HOLX
2013-11-12,RBC Capital,Sector Perform,Top Pick,down,HOLX
2013-11-12,Canaccord Genuity,Hold,Buy,down,HOLX
2013-11-12,SunTrust Robinson Humphrey,Reduce,,main,HOLX
2013-12-02,Cowen & Co.,Market Perform,Outperform,down,HOLX
2014-01-06,Morgan Stanley,Equal-weight,Overweight,down,HOLX
2014-01-22,ISI Group,Buy,Strong Buy,down,HOLX
2014-04-24,BTIG Research,Buy,,init,HOLX
2014-05-01,JP Morgan,Overweight,,main,HOLX
2014-05-12,Argus,Buy,,main,HOLX
2014-07-02,Standpoint Research,Hold,Buy,down,HOLX
2014-07-07,BTIG Research,Neutral,Buy,down,HOLX
2014-07-31,JP Morgan,Overweight,,main,HOLX
2014-07-31,SunTrust Robinson Humphrey,Reduce,,main,HOLX
2014-11-06,Jefferies,Buy,,main,HOLX
2014-12-18,Goldman Sachs,Buy,,main,HOLX
2015-01-20,William Blair,Outperform,Market Perform,up,HOLX
2015-01-29,JP Morgan,Overweight,,main,HOLX
