Date,Firm,To Grade,From Grade,Action,ABV
2019-08-19,SunTrust Robinson Humphrey,Buy,,init,HCAT
2019-08-19,Evercore ISI Group,Outperform,,init,HCAT
2019-08-19,Goldman Sachs,Buy,,init,HCAT
2019-08-19,SVB Leerink,Outperform,,init,HCAT
2019-08-19,Piper Jaffray,Overweight,,init,HCAT
2019-08-19,William Blair,Outperform,,init,HCAT
2019-08-19,JP Morgan,Overweight,,init,HCAT
2019-10-30,Cantor Fitzgerald,Overweight,,init,HCAT
2019-12-20,Raymond James,Strong Buy,,init,HCAT
2020-03-26,SunTrust Robinson Humphrey,Buy,,main,HCAT
2020-04-02,Canaccord Genuity,Buy,,init,HCAT
2020-04-20,Cantor Fitzgerald,Overweight,,reit,HCAT
2020-04-21,RBC Capital,Outperform,,init,HCAT
2020-04-22,SunTrust Robinson Humphrey,Buy,,main,HCAT
2020-05-13,Raymond James,Strong Buy,,main,HCAT
2020-05-13,SVB Leerink,Outperform,,main,HCAT
2020-05-13,SunTrust Robinson Humphrey,Buy,,main,HCAT
2020-05-15,Guggenheim,Buy,,init,HCAT
2020-06-18,Stifel,Buy,,init,HCAT
2020-07-10,SVB Leerink,Outperform,,main,HCAT
2020-07-14,Citigroup,Buy,,init,HCAT
2020-08-12,Truist Securities,Buy,,main,HCAT
2020-08-12,Stifel,Buy,,main,HCAT
2020-11-11,Raymond James,Strong Buy,,main,HCAT
2020-11-11,Canaccord Genuity,Buy,,main,HCAT
2020-12-08,Berenberg,Buy,,init,HCAT
2021-02-26,SVB Leerink,Outperform,,main,HCAT
2021-02-26,Raymond James,Strong Buy,,main,HCAT
2021-05-07,Raymond James,Strong Buy,,main,HCAT
2021-05-07,SVB Leerink,Outperform,,main,HCAT
2021-05-07,Goldman Sachs,Buy,,main,HCAT
2021-06-30,SVB Leerink,Outperform,,main,HCAT
2021-08-06,SVB Leerink,Outperform,,main,HCAT
2021-08-09,Citigroup,Buy,,main,HCAT
2021-08-10,Raymond James,Strong Buy,,main,HCAT
2021-10-14,BTIG,Buy,,init,HCAT
2021-12-02,Jefferies,Hold,,init,HCAT
2021-12-20,Citigroup,Buy,,main,HCAT
