Date,Firm,To Grade,From Grade,Action,ABV
2012-02-10,Goldman Sachs,Neutral,,down,NCR
2012-03-27,Oppenheimer,Outperform,,main,NCR
2012-04-26,JP Morgan,Overweight,,main,NCR
2012-07-18,Compass Point,Buy,Neutral,up,NCR
2012-08-14,Wedbush,Neutral,Outperform,down,NCR
2012-11-27,Susquehanna,Positive,,init,NCR
2012-11-29,Compass Point,Buy,,main,NCR
2013-01-29,Compass Point,Neutral,Buy,down,NCR
2013-04-17,Compass Point,Buy,Neutral,up,NCR
2013-07-31,Compass Point,Buy,,main,NCR
2013-10-11,Compass Point,Buy,,main,NCR
2013-10-25,Compass Point,Neutral,Buy,down,NCR
2013-10-25,Compass Point,Neutral,Buy,down,NCR
2013-12-03,Compass Point,Buy,Neutral,up,NCR
2014-01-23,Northcoast Research,Neutral,Buy,down,NCR
2014-02-07,Compass Point,Buy,,main,NCR
2014-04-30,JP Morgan,Overweight,,main,NCR
2014-07-24,JP Morgan,Overweight,,main,NCR
2015-01-15,JP Morgan,Overweight,,main,NCR
2015-02-11,JP Morgan,Overweight,,main,NCR
2015-04-22,Susquehanna,Positive,,main,NCR
2015-10-28,Oppenheimer,Outperform,,main,NCR
2015-12-03,Oppenheimer,Outperform,Perform,down,NCR
2015-12-18,Jefferies,Overweight,,init,NCR
2016-01-26,Susquehanna,Positive,,main,NCR
2016-02-10,JP Morgan,Overweight,,main,NCR
2016-07-27,JP Morgan,Overweight,,main,NCR
2016-08-15,JP Morgan,Overweight,,main,NCR
2017-03-16,Oppenheimer,Outperform,Perform,up,NCR
2017-04-13,Benchmark,Buy,,init,NCR
2017-07-18,Compass Point,Buy,,init,NCR
2017-10-20,Morgan Stanley,Equal-Weight,,main,NCR
2018-02-07,DA Davidson,Neutral,,init,NCR
2018-02-09,Morgan Stanley,Equal-Weight,Equal-Weight,main,NCR
2018-05-02,DA Davidson,Neutral,Neutral,main,NCR
2018-05-24,Oppenheimer,Outperform,Outperform,main,NCR
2018-07-27,Oppenheimer,Perform,Outperform,down,NCR
2018-07-27,JP Morgan,Overweight,Overweight,main,NCR
2018-10-31,Morgan Stanley,Equal-Weight,Equal-Weight,main,NCR
2018-12-18,RBC Capital,Top Pick,Outperform,up,NCR
2019-01-08,DA Davidson,Buy,Neutral,up,NCR
2019-01-09,DA Davidson,Buy,Neutral,up,NCR
2019-03-25,JP Morgan,Neutral,Overweight,down,NCR
2019-07-26,Morgan Stanley,Equal-Weight,,main,NCR
2019-09-18,Wells Fargo,Outperform,,init,NCR
2019-09-24,DA Davidson,Buy,,main,NCR
2019-11-08,Morgan Stanley,Equal-Weight,,main,NCR
2019-12-23,Standpoint Research,Accumulate,,init,NCR
2020-03-04,Stephens & Co.,Equal-Weight,,main,NCR
2020-03-18,Oppenheimer,Outperform,Perform,up,NCR
2020-03-25,Morgan Stanley,Equal-Weight,,main,NCR
2020-03-27,JP Morgan,Neutral,,main,NCR
2020-03-30,Benchmark,Buy,,main,NCR
2020-04-01,Morgan Stanley,Equal-Weight,,main,NCR
2020-04-02,Wells Fargo,Overweight,,main,NCR
2020-04-03,DA Davidson,Buy,,main,NCR
2020-05-01,Oppenheimer,Outperform,,main,NCR
2020-07-28,Benchmark,Buy,,main,NCR
2020-07-29,Morgan Stanley,Equal-Weight,,main,NCR
2020-07-29,JP Morgan,Neutral,,main,NCR
2020-09-29,Stephens & Co.,Overweight,Equal-Weight,up,NCR
2020-10-13,Morgan Stanley,Equal-Weight,,main,NCR
2020-10-27,JP Morgan,Overweight,Neutral,up,NCR
2020-10-28,Wells Fargo,Overweight,,main,NCR
2020-12-01,Morgan Stanley,Overweight,Equal-Weight,up,NCR
2020-12-04,Stephens & Co.,Overweight,,main,NCR
2020-12-04,Morgan Stanley,Overweight,,main,NCR
2021-01-27,Morgan Stanley,Overweight,,main,NCR
2021-04-08,Morgan Stanley,Overweight,,main,NCR
2021-04-28,Oppenheimer,Outperform,,main,NCR
2021-04-28,Morgan Stanley,Overweight,,main,NCR
2021-05-10,Morgan Stanley,Overweight,,main,NCR
2021-08-04,Morgan Stanley,Overweight,,main,NCR
2021-11-19,Stephens & Co.,Overweight,,init,NCR
