Date,Firm,To Grade,From Grade,Action,ABV
2012-08-02,FIG Partners,Outperform,,main,PROV
2012-08-02,Compass Point,Buy,,main,PROV
2012-08-29,FIG Partners,Market Perform,Outperform,down,PROV
2012-11-06,Compass Point,Neutral,Buy,down,PROV
2012-11-07,FIG Partners,Market Perform,,main,PROV
2013-04-25,Compass Point,Buy,Neutral,up,PROV
2013-05-06,Raymond James,Outperform,Market Perform,up,PROV
2013-08-01,Compass Point,Buy,,main,PROV
2013-09-26,Sandler O'Neill,Hold,Buy,down,PROV
2013-10-30,FIG Partners,Underperform,Market Perform,down,PROV
2013-10-31,Compass Point,Buy,,main,PROV
2013-11-01,Raymond James,Market Perform,,down,PROV
2014-02-13,FIG Partners,Market Perform,,init,PROV
2014-04-10,Keefe Bruyette & Woods,Market Perform,,init,PROV
2014-05-01,Compass Point,Buy,,main,PROV
2014-05-08,Raymond James,Underperform,Market Perform,down,PROV
2014-08-06,Raymond James,Market Perform,Underperform,up,PROV
2015-01-28,Keefe Bruyette & Woods,Market Perform,,main,PROV
2015-04-30,Compass Point,Neutral,Buy,down,PROV
2015-05-01,Keefe Bruyette & Woods,Market Perform,,main,PROV
2015-12-17,Sandler O'Neill,Hold,Buy,down,PROV
2016-07-29,Keefe Bruyette & Woods,Market Perform,,main,PROV
2019-02-05,Fig Partners,Outperform,Market Perform,up,PROV
2020-01-29,Janney Capital,Buy,Neutral,up,PROV
2020-02-11,Piper Sandler,Neutral,,init,PROV
2020-05-05,Piper Sandler,Overweight,Neutral,up,PROV
2020-10-01,Piper Sandler,Overweight,,main,PROV
2021-01-29,Janney Capital,Neutral,Buy,down,PROV
