Date,Firm,To Grade,From Grade,Action,ABV
2013-09-04,Global Hunter Securities,Buy,Neutral,up,SBLK
2013-09-04,Global Hunter Securities,Buy,Neutral,up,SBLK
2013-11-12,Stifel Nicolaus,Hold,,init,SBLK
2014-01-16,Clarksons Platou,Outperform,Market Perform,up,SBLK
2014-03-06,Stifel,Buy,Hold,up,SBLK
2014-03-07,Morgan Stanley,Equal-Weight,Overweight,down,SBLK
2014-06-10,Canaccord Genuity,Buy,,init,SBLK
2014-06-18,Pareto Securities,Buy,Hold,up,SBLK
2014-08-18,Evercore Partners,Overweight,,init,SBLK
2014-09-03,Jefferies,Buy,,init,SBLK
2014-11-12,Sterne Agee,Buy,,init,SBLK
2014-12-03,Stifel Nicolaus,Buy,,main,SBLK
2014-12-08,Deutsche Bank,Hold,,init,SBLK
2014-12-09,Sterne Agee,Neutral,Buy,down,SBLK
2015-01-06,Seaport Global,,,init,SBLK
2015-02-17,Stifel Nicolaus,Buy,,main,SBLK
2015-02-20,Seaport Global,,,init,SBLK
2015-03-02,Deutsche Bank,Sell,Hold,down,SBLK
2015-03-23,Jefferies,Buy,,main,SBLK
2015-03-24,ABN Amro,Sell,,init,SBLK
2015-04-27,Jefferies,Buy,,main,SBLK
2015-05-07,Bank of America,Underperform,Neutral,down,SBLK
2015-06-01,Deutsche Bank,Hold,Sell,up,SBLK
2015-07-02,Jefferies,Buy,,main,SBLK
2015-09-01,Stifel Nicolaus,Buy,,main,SBLK
2015-09-28,Deutsche Bank,Buy,Hold,up,SBLK
2015-10-15,JP Morgan,Overweight,,init,SBLK
2015-10-23,Jefferies,Buy,,main,SBLK
2015-10-28,UBS,Sell,Neutral,down,SBLK
2015-11-18,Deutsche Bank,Hold,Buy,down,SBLK
2015-11-20,UBS,Neutral,Sell,up,SBLK
2015-12-15,Morgan Stanley,Underperform,Equal-Weight,down,SBLK
2016-01-07,Stifel Nicolaus,Hold,Buy,down,SBLK
2016-01-19,Jefferies,Buy,,main,SBLK
2016-01-26,JP Morgan,Neutral,Overweight,down,SBLK
2016-02-04,Seaport Global,Neutral,Speculative Buy,down,SBLK
2016-04-21,ABN Amro,Buy,Add,up,SBLK
2016-07-19,JP Morgan,Overweight,Neutral,up,SBLK
2016-09-16,Jefferies,Buy,,main,SBLK
2017-02-09,Pareto,Hold,Buy,down,SBLK
2017-02-21,Deutsche Bank,Buy,Hold,up,SBLK
2017-03-28,Morgan Stanley,Overweight,Underweight,up,SBLK
2018-02-12,Morgan Stanley,Overweight,Overweight,main,SBLK
2018-03-01,Morgan Stanley,Overweight,Overweight,main,SBLK
2018-03-01,Stifel Nicolaus,Hold,Hold,main,SBLK
2018-03-23,JP Morgan,Overweight,Overweight,main,SBLK
2018-04-17,Morgan Stanley,Overweight,Overweight,main,SBLK
2018-04-23,Stifel Nicolaus,Buy,Hold,up,SBLK
2018-06-13,Morgan Stanley,Overweight,Overweight,main,SBLK
2018-08-30,Stifel Nicolaus,Buy,Buy,main,SBLK
2019-02-15,Morgan Stanley,Equal-Weight,Overweight,down,SBLK
2020-01-27,Fearnleys,Hold,Buy,down,SBLK
2020-03-09,DNB,Hold,Buy,down,SBLK
2020-07-29,DnB Markets,Buy,Hold,up,SBLK
2021-01-29,Jefferies,Buy,,main,SBLK
2021-05-20,Jefferies,Buy,,main,SBLK
2021-09-13,HC Wainwright & Co.,Buy,,init,SBLK
