Date,Firm,To Grade,From Grade,Action,ABV
2016-08-01,Deutsche Bank,Buy,Hold,up,DLTR
2016-08-26,UBS,Buy,,main,DLTR
2016-08-31,Citigroup,Neutral,,main,DLTR
2016-09-06,Goldman Sachs,Buy,,main,DLTR
2016-09-23,Barclays,Equal-Weight,,init,DLTR
2016-09-27,Atlantic Equities,Underweight,Neutral,down,DLTR
2016-10-04,Cleveland Research,Neutral,Buy,down,DLTR
2016-10-10,Deutsche Bank,Buy,,main,DLTR
2016-10-13,KeyBanc,Sector Weight,,init,DLTR
2016-11-15,Johnson Rice,Accumulate,Hold,up,DLTR
2016-11-23,Deutsche Bank,Buy,,main,DLTR
2016-12-07,Loop Capital,Hold,,init,DLTR
2017-02-07,Bernstein,Underperform,,init,DLTR
2017-04-04,Atlantic Equities,Neutral,Underweight,up,DLTR
2017-04-24,Johnson Rice,Buy,Accumulate,up,DLTR
2017-05-09,Gordon Haskett,Buy,,init,DLTR
2017-06-28,Loop Capital,Buy,Hold,up,DLTR
2017-08-25,BMO Capital,Market Perform,,main,DLTR
2017-08-25,Morgan Stanley,Equal-Weight,,main,DLTR
2017-08-25,Buckingham,Buy,,main,DLTR
2017-08-25,Jefferies,Hold,,main,DLTR
2017-08-25,Raymond James,Strong Buy,Market Perform,up,DLTR
2017-08-28,Bernstein,Market Perform,Underperform,up,DLTR
2017-10-13,Loop Capital,Hold,Buy,down,DLTR
2017-11-03,Wells Fargo,Outperform,,init,DLTR
2017-11-14,UBS,Buy,,main,DLTR
2017-11-20,Buckingham,Buy,,main,DLTR
2017-11-22,KeyBanc,Overweight,Overweight,main,DLTR
2017-12-04,Moffett Nathanson,Buy,,init,DLTR
2018-01-11,Guggenheim,Buy,,init,DLTR
2018-01-17,Oppenheimer,Outperform,,init,DLTR
2018-01-30,Bank of America,Buy,Buy,main,DLTR
2018-02-27,Wells Fargo,Outperform,Outperform,main,DLTR
2018-03-08,Morgan Stanley,Equal-Weight,Equal-Weight,main,DLTR
2018-03-08,MKM Partners,Buy,Buy,main,DLTR
2018-03-08,Deutsche Bank,Buy,Buy,main,DLTR
2018-03-08,Buckingham,Buy,Buy,main,DLTR
2018-03-08,Raymond James,Strong Buy,Strong Buy,main,DLTR
2018-03-08,Barclays,Overweight,Equal-Weight,up,DLTR
2018-03-09,BMO Capital,Market Perform,Market Perform,main,DLTR
2018-03-13,Citigroup,Neutral,Neutral,main,DLTR
2018-03-26,PiperJaffray,Overweight,Neutral,up,DLTR
2018-04-16,Raymond James,Outperform,Strong Buy,down,DLTR
2018-04-18,Loop Capital,Buy,Hold,up,DLTR
2018-04-18,Credit Suisse,Outperform,,init,DLTR
2018-04-25,Morgan Stanley,Equal-Weight,Equal-Weight,main,DLTR
2018-06-01,Credit Suisse,Outperform,Outperform,main,DLTR
2018-06-01,Buckingham,Buy,Buy,main,DLTR
2018-06-01,JP Morgan,Overweight,Overweight,main,DLTR
2018-06-01,Morgan Stanley,Equal-Weight,Equal-Weight,main,DLTR
2018-06-04,Gordon Haskett,Accumulate,Buy,down,DLTR
2018-06-28,Credit Suisse,Outperform,Outperform,main,DLTR
2018-08-13,Atlantic Equities,Overweight,Neutral,up,DLTR
2018-08-30,JP Morgan,Neutral,Overweight,down,DLTR
2018-08-31,Raymond James,Outperform,Outperform,main,DLTR
2018-08-31,Telsey Advisory Group,Market Perform,Outperform,down,DLTR
2018-08-31,UBS,Buy,Buy,main,DLTR
2018-08-31,Deutsche Bank,Buy,Buy,main,DLTR
2018-08-31,Morgan Stanley,Equal-Weight,Equal-Weight,main,DLTR
2018-09-04,RBC Capital,Outperform,Top Pick,down,DLTR
2018-09-25,Buckingham,Neutral,,init,DLTR
2018-10-17,KeyBanc,Overweight,Overweight,main,DLTR
2018-11-30,RBC Capital,Outperform,Outperform,main,DLTR
2018-11-30,Credit Suisse,Outperform,Outperform,main,DLTR
2018-11-30,Morgan Stanley,Equal-Weight,Equal-Weight,main,DLTR
2018-12-04,Citigroup,Neutral,Neutral,main,DLTR
2018-12-14,Bernstein,Outperform,Market Perform,up,DLTR
2019-01-10,BMO Capital,Market Perform,,init,DLTR
2019-01-10,Oppenheimer,Perform,Outperform,down,DLTR
2019-03-07,Credit Suisse,Outperform,Outperform,main,DLTR
2019-03-07,Morgan Stanley,Equal-Weight,Equal-Weight,main,DLTR
2019-03-20,Telsey Advisory Group,Outperform,Market Perform,up,DLTR
2019-03-20,Evercore ISI Group,In-Line,,init,DLTR
2019-03-21,Gordon Haskett,Buy,Accumulate,up,DLTR
2019-04-08,Loop Capital,Hold,Buy,down,DLTR
2019-04-24,Morgan Stanley,Equal-Weight,Equal-Weight,main,DLTR
2019-05-31,BMO Capital,Market Perform,,main,DLTR
2019-05-31,KeyBanc,Overweight,,reit,DLTR
2019-06-03,Morgan Stanley,Equal-Weight,,main,DLTR
2019-06-11,JP Morgan,Overweight,Neutral,up,DLTR
2019-08-05,Deutsche Bank,Hold,Buy,down,DLTR
2019-08-23,OTR Global,Positive,Mixed,up,DLTR
2019-08-30,Credit Suisse,Outperform,,main,DLTR
2019-08-30,RBC Capital,Outperform,,main,DLTR
2019-10-14,Credit Suisse,Outperform,,main,DLTR
2019-10-22,Wells Fargo,Outperform,,main,DLTR
2019-11-27,JP Morgan,Neutral,Overweight,down,DLTR
2019-11-27,Telsey Advisory Group,Market Perform,Outperform,down,DLTR
2019-11-27,RBC Capital,Outperform,,main,DLTR
2019-11-27,Morgan Stanley,Equal-Weight,,main,DLTR
2019-11-27,Deutsche Bank,Hold,,main,DLTR
2019-11-27,Credit Suisse,Outperform,,main,DLTR
2019-11-27,BMO Capital,Market Perform,,main,DLTR
2019-11-29,Atlantic Equities,Neutral,Overweight,down,DLTR
2019-12-02,Citigroup,Neutral,,main,DLTR
2020-01-06,Loop Capital,Sell,Hold,down,DLTR
2020-01-09,Gordon Haskett,Reduce,Accumulate,down,DLTR
2020-01-21,KeyBanc,Sector Weight,Overweight,down,DLTR
2020-01-22,Morgan Stanley,Equal-Weight,,main,DLTR
2020-01-23,B of A Securities,Neutral,Buy,down,DLTR
2020-03-04,CFRA,Buy,,main,DLTR
2020-03-05,Morgan Stanley,Equal-Weight,,main,DLTR
2020-03-05,Deutsche Bank,Buy,Hold,up,DLTR
2020-03-05,Wells Fargo,Overweight,,main,DLTR
2020-03-05,Credit Suisse,Outperform,,main,DLTR
2020-03-10,UBS,Buy,,main,DLTR
2020-03-16,Loop Capital,Hold,Sell,up,DLTR
2020-03-17,Morgan Stanley,Equal-Weight,,main,DLTR
2020-03-20,KeyBanc,Overweight,Sector Weight,up,DLTR
2020-04-01,Piper Sandler,Overweight,,main,DLTR
2020-05-28,CFRA,Buy,,main,DLTR
2020-05-29,Morgan Stanley,Equal-Weight,,main,DLTR
2020-05-29,KeyBanc,Overweight,,main,DLTR
2020-06-01,Morgan Stanley,Equal-Weight,,main,DLTR
2020-06-04,Morgan Stanley,Equal-Weight,,main,DLTR
2020-08-28,Morgan Stanley,Equal-Weight,,main,DLTR
2020-10-09,Wolfe Research,Peer Perform,,init,DLTR
2020-11-25,Morgan Stanley,Equal-Weight,,main,DLTR
2020-11-25,KeyBanc,Overweight,,main,DLTR
2020-11-25,B of A Securities,Buy,,main,DLTR
2020-11-25,UBS,Buy,,main,DLTR
2021-02-16,JP Morgan,Overweight,,main,DLTR
2021-03-04,BMO Capital,Market Perform,,main,DLTR
2021-03-04,RBC Capital,Outperform,,main,DLTR
2021-05-28,Citigroup,Buy,,main,DLTR
2021-05-28,RBC Capital,Outperform,,main,DLTR
2021-06-01,Morgan Stanley,Equal-Weight,,main,DLTR
2021-06-24,Piper Sandler,Neutral,Overweight,down,DLTR
2021-08-09,Deutsche Bank,Hold,Buy,down,DLTR
2021-08-27,Telsey Advisory Group,Market Perform,Outperform,down,DLTR
2021-08-27,Barclays,Equal-Weight,,main,DLTR
2021-08-27,Keybanc,Overweight,,main,DLTR
2021-08-27,Deutsche Bank,Hold,,main,DLTR
2021-08-27,BMO Capital,Market Perform,,main,DLTR
2021-08-27,Morgan Stanley,Equal-Weight,,main,DLTR
2021-10-01,Keybanc,Sector Weight,Overweight,down,DLTR
2021-11-15,Morgan Stanley,Equal-Weight,,main,DLTR
2021-11-15,R5 Capital,Buy,Hold,up,DLTR
2021-11-15,Deutsche Bank,Buy,Hold,up,DLTR
2021-11-16,Wells Fargo,Overweight,,main,DLTR
2021-11-19,Telsey Advisory Group,Market Perform,,main,DLTR
2021-11-24,Telsey Advisory Group,Outperform,Market Perform,up,DLTR
2021-11-24,Barclays,Equal-Weight,,main,DLTR
2021-11-24,Evercore ISI Group,In-Line,,main,DLTR
2021-11-24,BMO Capital,Market Perform,,main,DLTR
2021-11-24,B of A Securities,Underperform,,main,DLTR
2021-11-24,Deutsche Bank,Buy,,main,DLTR
2021-11-26,Morgan Stanley,Equal-Weight,,main,DLTR
2021-11-30,Goldman Sachs,Neutral,Buy,down,DLTR
