Date,Firm,To Grade,From Grade,Action,ABV
2019-10-08,Raymond James,Outperform,,init,ALRS
2020-06-17,Raymond James,Market Perform,Outperform,down,ALRS
2020-09-23,Piper Sandler,Neutral,,main,ALRS
