Date,Firm,To Grade,From Grade,Action,ABV
2017-10-17,Canaccord Genuity,Hold,,main,BB
2018-06-25,Canaccord Genuity,Hold,Hold,main,BB
2018-10-01,Raymond James,Market Perform,Market Perform,main,BB
2018-11-19,CIBC,Outperform,Neutral,up,BB
2018-12-21,Canaccord Genuity,Hold,Hold,main,BB
2018-12-21,RBC Capital,Sector Perform,Sector Perform,main,BB
2019-06-27,Canaccord Genuity,Hold,,main,BB
2019-08-16,Macquarie,Neutral,,init,BB
2019-09-24,Scotiabank,Sector Perform,Sector Outperform,down,BB
2019-09-25,RBC Capital,Sector Perform,,main,BB
2019-09-25,Morgan Stanley,Equal-Weight,,main,BB
2019-10-24,Bank of America,Underperform,,reit,BB
2019-11-04,Bank of America,Neutral,Underperform,up,BB
2020-04-01,CFRA,Hold,,main,BB
2020-04-01,Canaccord Genuity,Hold,,main,BB
2020-04-01,MKM Partners,Neutral,,main,BB
2020-06-12,B of A Securities,Neutral,,main,BB
2021-01-26,RBC Capital,Underperform,Sector Perform,down,BB
2021-02-16,Canaccord Genuity,Sell,Hold,down,BB
2021-03-31,Canaccord Genuity,Hold,Sell,up,BB
2021-04-29,Canaccord Genuity,Hold,,main,BB
2021-06-25,Canaccord Genuity,Sell,Hold,down,BB
2021-06-25,CIBC,Underperform,Neutral,down,BB
2021-06-25,TD Securities,Reduce,Hold,down,BB
2021-08-18,Canaccord Genuity,Hold,Sell,up,BB
