Date,Firm,To Grade,From Grade,Action,ABV
2012-02-13,Scotiabank,Sector Perform,,up,AMOV
2012-05-09,Scotiabank,Sector Underperform,,down,AMOV
2012-05-23,JP Morgan,Neutral,,down,AMOV
2012-10-05,HSBC,Overweight,Neutral,up,AMOV
2013-02-13,Itau BBA,Underperform,Market Perform,down,AMOV
2013-02-15,JP Morgan,Neutral,,main,AMOV
2013-02-20,UBS,Neutral,Buy,down,AMOV
2013-03-12,Credit Suisse,Neutral,Outperform,down,AMOV
2013-03-13,HSBC,Neutral,Overweight,down,AMOV
2013-03-19,Morgan Stanley,Equal-Weight,Underweight,up,AMOV
2013-03-22,Itau BBA,Market Perform,Underperform,up,AMOV
2013-03-26,Bank of America,Buy,Neutral,up,AMOV
2013-04-15,Bernstein,Underperform,,init,AMOV
2013-08-07,Citigroup,Neutral,,init,AMOV
2013-08-14,BBVA,Underperform,Outperform,down,AMOV
2013-08-19,Barclays,Equal-Weight,,init,AMOV
2014-02-14,Morgan Stanley,Equal-Weight,,main,AMOV
2014-02-20,Barclays,Outperform,Market Perform,down,AMOV
2014-03-10,Scotiabank,Sector Perform,Sector Underperform,up,AMOV
2014-03-12,Itau BBA,Market Perform,Underperform,up,AMOV
2014-03-25,Bank of America,Neutral,Buy,down,AMOV
2014-03-25,Macquarie,Outperform,,main,AMOV
2014-04-23,Itau BBA,Outperform,Market Perform,up,AMOV
2014-05-23,JP Morgan,Neutral,,main,AMOV
2014-07-18,JP Morgan,Neutral,,main,AMOV
2014-07-21,Morgan Stanley,Underweight,Equal-weight,down,AMOV
2014-09-03,Macquarie,Outperform,,main,AMOV
2014-10-16,Bank of America,Buy,Neutral,up,AMOV
2014-10-27,Macquarie,Outperform,,main,AMOV
2015-04-27,RBC Capital,Underperform,,main,AMOV
2015-04-28,JP Morgan,Neutral,,main,AMOV
2015-07-21,Macquarie,Outperform,,main,AMOV
2015-07-23,JP Morgan,Underweight,Neutral,down,AMOV
2015-10-12,Barclays,Equal-Weight,,main,AMOV
2015-11-17,Macquarie,Neutral,Outperform,down,AMOV
2015-12-11,Morgan Stanley,Equal-Weight,Underweight,up,AMOV
2015-12-17,JP Morgan,Neutral,Underweight,up,AMOV
2016-01-11,Itau BBA,Outperform,,up,AMOV
2016-01-26,Morgan Stanley,Overweight,Equal-Weight,up,AMOV
2016-04-28,JP Morgan,Underweight,Neutral,down,AMOV
2016-04-28,Bank of America,Neutral,Buy,down,AMOV
2016-04-28,Citigroup,Sell,Neutral,down,AMOV
2016-04-29,Morgan Stanley,Equal-Weight,Overweight,down,AMOV
2016-06-22,BTIG Research,Neutral,,init,AMOV
2016-07-18,Barclays,Equal-Weight,,main,AMOV
2016-10-28,Citigroup,Neutral,Sell,up,AMOV
2016-11-22,Bank of America,Buy,Neutral,up,AMOV
2017-01-12,Deutsche Bank,Sell,,init,AMOV
2017-04-10,Barclays,Overweight,Equal-Weight,up,AMOV
2017-04-25,Deutsche Bank,Hold,,up,AMOV
2017-07-10,Credit Suisse,Neutral,,main,AMOV
2017-08-10,Morgan Stanley,Overweight,Equal-Weight,up,AMOV
2017-08-21,Barclays,Overweight,,main,AMOV
2018-02-15,JP Morgan,Neutral,Neutral,main,AMOV
2018-04-03,Goldman Sachs,Buy,,init,AMOV
2018-06-25,Deutsche Bank,Hold,,init,AMOV
2018-08-07,Bank of America,Buy,Buy,main,AMOV
2018-11-26,Bradesco,Neutral,,up,AMOV
2018-11-29,Itau BBA,Outperform,Market Perform,up,AMOV
2019-04-05,JP Morgan,Overweight,Neutral,up,AMOV
2020-06-04,Itau BBA,Outperform,Market Perform,up,AMOV
2020-08-17,Barclays,Overweight,,main,AMOV
2021-10-06,Itau BBA,Market Perform,Outperform,down,AMOV
2021-10-14,Barclays,Overweight,,main,AMOV
