Date,Firm,To Grade,From Grade,Action,ABV
2012-06-29,Bank of America,Underperform,Neutral,down,CZR
2012-07-17,RBC Capital,Underperform,,init,CZR
2012-08-22,Barclays,Underweight,,init,CZR
2012-10-01,ISI Group,Sell,,init,CZR
2012-11-05,Dahlman Rose,Hold,,main,CZR
2012-11-05,Barclays,Underweight,,main,CZR
2012-11-06,Deutsche Bank,Hold,,main,CZR
2013-04-30,Imperial Capital,In-Line,Outperform,down,CZR
2013-04-30,Imperial Capital,In-Line,Outperform,down,CZR
2013-05-15,Deutsche Bank,Hold,,main,CZR
2013-05-22,Credit Suisse,Neutral,Outperform,down,CZR
2014-03-13,Imperial Capital,Underperform,In-Line,down,CZR
2014-08-12,Macquarie,Neutral,,main,CZR
2014-10-10,Imperial Capital,Outperform,,init,CZR
2014-10-21,Bank of America,,,,CZR
2014-11-11,Macquarie,Neutral,,main,CZR
2015-05-14,Barclays,Underweight,,main,CZR
2015-12-14,Barclays,Underweight,,main,CZR
2017-04-20,Macquarie,Outperform,Neutral,up,CZR
2017-06-01,Oppenheimer,Outperform,,init,CZR
2017-09-15,SunTrust Robinson Humphrey,Buy,,init,CZR
2017-10-06,Instinet,Neutral,,init,CZR
2018-01-19,Jefferies,Hold,,init,CZR
2018-05-24,JP Morgan,Overweight,,init,CZR
2018-07-23,Bank of America,Buy,,init,CZR
2018-08-02,Bank of America,Buy,Buy,main,CZR
2018-09-05,Deutsche Bank,Buy,,init,CZR
2018-09-11,Credit Suisse,Outperform,,init,CZR
2018-09-24,UBS,Sell,,init,CZR
2018-10-23,Morgan Stanley,Overweight,,init,CZR
2019-01-02,UBS,Neutral,Sell,up,CZR
2019-01-07,Deutsche Bank,Buy,Buy,main,CZR
2019-01-16,Bank of America,Neutral,Buy,down,CZR
2019-05-01,UBS,Neutral,,main,CZR
2019-06-25,Nomura,Neutral,Buy,down,CZR
2019-06-25,SunTrust Robinson Humphrey,Hold,Buy,down,CZR
2019-06-25,Morgan Stanley,Equal-Weight,Overweight,down,CZR
2020-01-10,UBS,Neutral,,main,CZR
2020-01-21,Morgan Stanley,Equal-Weight,,main,CZR
2020-03-30,Morgan Stanley,Equal-Weight,,main,CZR
2020-04-17,SunTrust Robinson Humphrey,Buy,Hold,up,CZR
2020-05-12,Deutsche Bank,Buy,,main,CZR
2020-05-12,Morgan Stanley,Equal-Weight,,main,CZR
2020-05-12,SunTrust Robinson Humphrey,Buy,,main,CZR
2020-05-27,UBS,Neutral,,main,CZR
2020-06-04,Deutsche Bank,Buy,,main,CZR
2020-07-20,Morgan Stanley,Equal-Weight,,main,CZR
2020-07-21,Cowen & Co.,Outperform,,init,CZR
2020-08-10,Morgan Stanley,Overweight,,main,CZR
2020-08-28,Morgan Stanley,Overweight,,main,CZR
2020-09-14,Goldman Sachs,Neutral,,init,CZR
2020-09-22,Deutsche Bank,Buy,,main,CZR
2020-10-16,Morgan Stanley,Overweight,,main,CZR
2020-11-25,Morgan Stanley,Equal-Weight,Overweight,down,CZR
2021-01-14,KeyBanc,Overweight,,init,CZR
2021-01-20,Morgan Stanley,Equal-Weight,,main,CZR
2021-02-26,Morgan Stanley,Equal-Weight,,main,CZR
2021-02-26,Roth Capital,Buy,,main,CZR
2021-03-01,KeyBanc,Overweight,,main,CZR
2021-03-23,Goldman Sachs,Neutral,,main,CZR
2021-04-05,Morgan Stanley,Overweight,Equal-Weight,up,CZR
2021-04-08,Keybanc,Overweight,,main,CZR
2021-04-27,Deutsche Bank,Buy,,main,CZR
2021-04-27,Truist Securities,Buy,,main,CZR
2021-05-05,Morgan Stanley,Overweight,,main,CZR
2021-05-06,Keybanc,Overweight,,main,CZR
2021-06-07,Deutsche Bank,Buy,,main,CZR
2021-06-10,JP Morgan,Overweight,,main,CZR
2021-08-04,Morgan Stanley,Overweight,,main,CZR
2021-08-04,Stifel,Buy,,main,CZR
2021-08-09,B of A Securities,Buy,Neutral,up,CZR
2021-09-15,Wells Fargo,Overweight,,init,CZR
2021-10-06,Keybanc,Overweight,,main,CZR
2021-10-20,Morgan Stanley,Overweight,,main,CZR
2021-10-27,Goldman Sachs,Neutral,,main,CZR
2021-11-03,Wells Fargo,Overweight,,main,CZR
2021-11-12,B. Riley Securities,Buy,,init,CZR
2021-11-29,Deutsche Bank,Buy,,main,CZR
2021-12-17,Wells Fargo,Overweight,,main,CZR
