Date,Firm,To Grade,From Grade,Action,ABV
2017-07-03,,Outperform,,init,SSTI
2017-07-28,Imperial Capital,Outperform,,init,SSTI
2017-11-15,Imperial Capital,Outperform,,main,SSTI
2018-02-22,Imperial Capital,Outperform,Outperform,main,SSTI
2018-04-24,Dougherty,Buy,,init,SSTI
2018-05-10,Imperial Capital,Outperform,Outperform,main,SSTI
2018-05-29,Lake Street,Buy,,init,SSTI
2018-06-07,JMP Securities,Market Outperform,,init,SSTI
2018-09-26,William Blair,Outperform,,init,SSTI
2018-10-05,Imperial Capital,In-Line,Outperform,down,SSTI
2018-10-08,JMP Securities,Market Outperform,Market Outperform,main,SSTI
2018-11-14,JMP Securities,Market Outperform,Market Outperform,main,SSTI
2018-11-20,Imperial Capital,Outperform,In-Line,up,SSTI
2018-12-03,National Securities,Buy,,init,SSTI
2018-12-19,Baird,Outperform,,init,SSTI
2018-12-20,B. Riley FBR,Buy,,init,SSTI
2019-02-06,National Securities,Neutral,Buy,down,SSTI
2019-02-21,Imperial Capital,In-Line,Outperform,down,SSTI
2019-05-15,Imperial Capital,Outperform,In-Line,up,SSTI
2019-07-15,Northland,Market Perform,Outperform,down,SSTI
2019-08-07,William Blair,Market Perform,Outperform,down,SSTI
2019-09-27,B. Riley,Buy,,main,SSTI
2019-10-18,Imperial Capital,Outperform,,main,SSTI
2019-11-04,JMP Securities,Market Outperform,,main,SSTI
2019-11-13,JMP Securities,Market Outperform,,main,SSTI
2019-11-13,Northland Securities,Market Perform,,main,SSTI
2019-12-18,JMP Securities,Market Outperform,,main,SSTI
2020-01-02,Northland Capital Markets,Outperform,Market Perform,up,SSTI
2020-02-20,Imperial Capital,Outperform,,main,SSTI
2020-05-04,Craig-Hallum,Hold,Buy,down,SSTI
2020-05-08,JMP Securities,Market Outperform,,main,SSTI
2020-11-10,JMP Securities,Market Perform,Market Outperform,down,SSTI
2021-05-12,Craig-Hallum,Buy,Hold,up,SSTI
2021-08-11,Roth Capital,Buy,,main,SSTI
