,Research Development,Effect Of Accounting Charges,Income Before Tax,Minority Interest,Net Income,Selling General Administrative,Gross Profit,Ebit,Operating Income,Other Operating Expenses,Interest Expense,Extraordinary Items,Non Recurring,Other Items,Income Tax Expense,Total Revenue,Total Operating Expenses,Cost Of Revenue,Total Other Income Expense Net,Discontinued Operations,Net Income From Continuing Ops,Net Income Applicable To Common Shares,ABV
2020-12-31,108568000.0,,-96863000.0,,-98849000.0,252395000.0,289969000.0,-70994000.0,-70994000.0,,-24137000.0,,,,1986000.0,411486000.0,482480000.0,121517000.0,-25869000.0,,-98849000.0,-98849000.0,RPD
2019-12-31,79364000.0,,-53803000.0,,-53845000.0,201176000.0,235801000.0,-44739000.0,-44739000.0,,-13389000.0,,,,42000.0,326947000.0,371686000.0,91146000.0,-9064000.0,,-53845000.0,-53845000.0,RPD
2018-12-31,67743000.0,,-55079000.0,,-55545000.0,157383000.0,173008000.0,-52118000.0,-52118000.0,,-4934000.0,,,,466000.0,244091000.0,296209000.0,71083000.0,-2961000.0,,-55545000.0,-55545000.0,RPD
2017-12-31,50938000.0,,-47706000.0,,-45470000.0,141719000.0,144030000.0,-48627000.0,-48627000.0,,-87000.0,,,,-2236000.0,200940000.0,249567000.0,56910000.0,921000.0,,-45470000.0,-45470000.0,RPD
