,Research Development,Effect Of Accounting Charges,Income Before Tax,Minority Interest,Net Income,Selling General Administrative,Gross Profit,Ebit,Operating Income,Other Operating Expenses,Interest Expense,Extraordinary Items,Non Recurring,Other Items,Income Tax Expense,Total Revenue,Total Operating Expenses,Cost Of Revenue,Total Other Income Expense Net,Discontinued Operations,Net Income From Continuing Ops,Net Income Applicable To Common Shares,ABV
2020-12-31,,,568000000.0,617000000.0,581000000.0,62000000.0,2477000000.0,822000000.0,822000000.0,619000000.0,-316000000.0,,,,29000000.0,6320000000.0,5498000000.0,3843000000.0,-254000000.0,,539000000.0,581000000.0,AGR
2019-12-31,,,812000000.0,349000000.0,667000000.0,79000000.0,2526000000.0,958000000.0,958000000.0,591000000.0,-310000000.0,,,,169000000.0,6336000000.0,5378000000.0,3810000000.0,-146000000.0,,643000000.0,667000000.0,AGR
2018-12-31,,,757000000.0,299000000.0,587000000.0,128000000.0,2569000000.0,1010000000.0,1010000000.0,579000000.0,-303000000.0,,,,167000000.0,6477000000.0,5467000000.0,3908000000.0,-253000000.0,,590000000.0,587000000.0,AGR
2017-12-31,,,123000000.0,19000000.0,381000000.0,120000000.0,2553000000.0,1047000000.0,1047000000.0,563000000.0,-280000000.0,,,,-259000000.0,5963000000.0,4916000000.0,3410000000.0,-924000000.0,,382000000.0,381000000.0,AGR
