,Research Development,Effect Of Accounting Charges,Income Before Tax,Minority Interest,Net Income,Selling General Administrative,Gross Profit,Ebit,Operating Income,Other Operating Expenses,Interest Expense,Extraordinary Items,Non Recurring,Other Items,Income Tax Expense,Total Revenue,Total Operating Expenses,Cost Of Revenue,Total Other Income Expense Net,Discontinued Operations,Net Income From Continuing Ops,Net Income Applicable To Common Shares,ABV
2020-12-31,,,-5047677.0,,-5047677.0,2933933.0,11276290.0,8309882.0,8309882.0,32475.0,-591250.0,,,,0.0,11276290.0,2966408.0,0.0,-13357559.0,,-5047677.0,-5047677.0,EICA
2019-12-31,,,7432760.0,,7432760.0,1595514.0,8336139.0,6547152.0,6547152.0,193473.0,-50739.0,,,,0.0,8336139.0,1788987.0,0.0,885608.0,,7432760.0,7432760.0,EICA
2018-12-31,,,-19647288.0,,-19647288.0,-75944.0,6074328.0,6074328.0,6074328.0,75944.0,-50739.0,,,,0.0,6074328.0,0.0,0.0,-25721616.0,,-19647288.0,-20608332.0,EICA
