,Research Development,Effect Of Accounting Charges,Income Before Tax,Minority Interest,Net Income,Selling General Administrative,Gross Profit,Ebit,Operating Income,Other Operating Expenses,Interest Expense,Extraordinary Items,Non Recurring,Other Items,Income Tax Expense,Total Revenue,Total Operating Expenses,Cost Of Revenue,Total Other Income Expense Net,Discontinued Operations,Net Income From Continuing Ops,Net Income Applicable To Common Shares,ABV
2020-12-31,144000000.0,,-1006000000.0,26000000.0,-770000000.0,2079000000.0,3083000000.0,860000000.0,860000000.0,,-274000000.0,,,,-236000000.0,9385000000.0,8525000000.0,6302000000.0,-1866000000.0,,-770000000.0,-770000000.0,NWL
2019-12-31,149000000.0,,-852000000.0,33000000.0,107000000.0,2264000000.0,3235000000.0,822000000.0,822000000.0,,-303000000.0,,,,-1038000000.0,9715000000.0,8893000000.0,6480000000.0,-1674000000.0,-79000000.0,186000000.0,107000000.0,NWL
2018-12-31,151000000.0,,-7992000000.0,34800000.0,-6942000000.0,2480000000.0,3518000000.0,887000000.0,887000000.0,,-446000000.0,,,,-1359000000.0,10154000000.0,9267000000.0,6636000000.0,-8879000000.0,-309000000.0,-6633000000.0,-6942000000.0,NWL
2017-12-31,175000000.0,,919300000.0,36600000.0,2748800000.0,2737300000.0,3810500000.0,898200000.0,898200000.0,,-475800000.0,,,,-1515000000.0,11170400000.0,10272200000.0,7359900000.0,21100000.0,314500000.0,2434300000.0,2748800000.0,NWL
