,Research Development,Effect Of Accounting Charges,Income Before Tax,Minority Interest,Net Income,Selling General Administrative,Gross Profit,Ebit,Operating Income,Other Operating Expenses,Interest Expense,Extraordinary Items,Non Recurring,Other Items,Income Tax Expense,Total Revenue,Total Operating Expenses,Cost Of Revenue,Total Other Income Expense Net,Discontinued Operations,Net Income From Continuing Ops,Net Income Applicable To Common Shares,ABV
2021-03-31,,,-16824000.0,,-16826000.0,12915000.0,-1103000.0,-14018000.0,-14018000.0,,,,,,2000.0,0.0,14018000.0,1103000.0,-2806000.0,,-16826000.0,-16826000.0,ONVO
2020-03-31,,,-18708000.0,,-18710000.0,14432000.0,-3416000.0,-17848000.0,-17848000.0,,,,,,2000.0,2196000.0,20044000.0,5612000.0,-860000.0,,-18710000.0,-18710000.0,ONVO
2019-03-31,,,-26632000.0,,-26635000.0,14690000.0,-12143000.0,-26833000.0,-26833000.0,,,,,,3000.0,3091000.0,29924000.0,15234000.0,201000.0,,-26635000.0,-26635000.0,ONVO
2018-03-31,,,-34801000.0,,-34803000.0,20888000.0,-14383000.0,-35271000.0,-35271000.0,,,,,,2000.0,4603000.0,39874000.0,18986000.0,470000.0,,-34803000.0,-34803000.0,ONVO
