,Research Development,Effect Of Accounting Charges,Income Before Tax,Minority Interest,Net Income,Selling General Administrative,Gross Profit,Ebit,Operating Income,Other Operating Expenses,Interest Expense,Extraordinary Items,Non Recurring,Other Items,Income Tax Expense,Total Revenue,Total Operating Expenses,Cost Of Revenue,Total Other Income Expense Net,Discontinued Operations,Net Income From Continuing Ops,Net Income Applicable To Common Shares,ABV
2020-12-31,14904000.0,,-29468000.0,,-29500000.0,12908000.0,0.0,-27812000.0,-27812000.0,,-908000.0,,,,32000.0,0.0,27812000.0,0.0,-1656000.0,,-29500000.0,-29500000.0,CMPX
2019-12-31,22449000.0,,-34653000.0,,-34744000.0,11603000.0,0.0,-34052000.0,-34052000.0,,-1228000.0,,,,91000.0,0.0,34052000.0,0.0,-601000.0,,-34744000.0,-34744000.0,CMPX
2018-12-31,27095000.0,,-38183000.0,,-38286000.0,11217000.0,0.0,-38312000.0,-38312000.0,,-767000.0,,,,103000.0,0.0,38312000.0,0.0,129000.0,,-38286000.0,-38286000.0,CMPX
